Surfshark UI Element Map (PID 16716)
================================================================================
048. Type: Custom       | Class: RecentLocationsView  | Name: ''                                  | Text: ''                                  | Rect: (L1056, T371, R1378, B521)
049. Type: Text         | Class: TextBlock            | Name: 'Utilizados recientemente'          | Text: 'Utilizados recientemente'          | Rect: (L1056, T371, R1302, B399)
050. Type: Button       | Class: Button               | Name: 'Borrar lista'                      | Text: 'Borrar lista'                      | Rect: (L1302, T371, R1378, B396)
051. Type: Text         | Class: TextBlock            | Name: 'Borrar lista'                      | Text: 'Borrar lista'                      | Rect: (L1310, T375, R1370, B392)
052. Type: List         | Class: ListView             | Name: 'Recent locations list'             | Text: 'Recent locations list'             | Rect: (L1056, T407, R1378, B505)
053. Type: ListItem     | Class: ListBoxItem          | Name: 'Nigeria'                           | Text: 'Nigeria'                           | Rect: (L1056, T407, R1163, B505)
054. Type: Custom       | Class: RecentLocationItem   | Name: ''                                  | Text: ''                                  | Rect: (L1056, T407, R1163, B505)
055. Type: Button       | Class: Button               | Name: 'Nigeria'                           | Text: 'Nigeria'                           | Rect: (L1056, T407, R1163, B505)
056. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1064, T423, R1088, B439)
057. Type: ListItem     | Class: ListBoxItem          | Name: 'Argentina'                         | Text: 'Argentina'                         | Rect: (L1163, T407, R1271, B505)
058. Type: Custom       | Class: RecentLocationItem   | Name: ''                                  | Text: ''                                  | Rect: (L1163, T407, R1271, B505)
059. Type: Button       | Class: Button               | Name: 'Argentina'                         | Text: 'Argentina'                         | Rect: (L1163, T407, R1271, B505)
060. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1171, T423, R1195, B439)
061. Type: ListItem     | Class: ListBoxItem          | Name: 'Germany Berlin'                    | Text: 'Germany Berlin'                    | Rect: (L1271, T407, R1378, B505)
062. Type: Custom       | Class: RecentLocationItem   | Name: ''                                  | Text: ''                                  | Rect: (L1271, T407, R1378, B505)
063. Type: Button       | Class: Button               | Name: 'Alemania'                          | Text: 'Alemania'                          | Rect: (L1271, T407, R1378, B505)
064. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1279, T423, R1303, B439)
065. Type: ListItem     | Class: ListBoxItem          | Name: 'Surfshark.Locations.Filters.LocationsGroupFilter' | Text: 'Surfshark.Locations.Filters.LocationsGroupFilter' | Rect: (L1056, T521, R1378, B631)
066. Type: Text         | Class: TextBlock            | Name: 'Favoritos'                         | Text: 'Favoritos'                         | Rect: (L1056, T521, R1378, B549)
067. Type: List         | Class: ListView             | Name: ''                                  | Text: ''                                  | Rect: (L1056, T557, R1378, B623)
068. Type: ListItem     | Class: ListBoxItem          | Name: 'Argentina'                         | Text: 'Argentina'                         | Rect: (L1056, T557, R1378, B623)
069. Type: Custom       | Class: LocationItem         | Name: ''                                  | Text: ''                                  | Rect: (L1056, T557, R1378, B615)
070. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1346, T570, R1378, B602)
071. Type: Custom       | Class: StarIcon             | Name: ''                                  | Text: ''                                  | Rect: (L1346, T570, R1378, B602)
072. Type: Custom       | Class: ConnectionQualityIcon | Name: ''                                  | Text: ''                                  | Rect: (L1306, T570, R1338, B602)
073. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T557, R1298, B615)
074. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1064, T578, R1088, B594)
075. Type: ListItem     | Class: ListBoxItem          | Name: 'Surfshark.Locations.ViewModels.LocationsHeaderViewModel' | Text: 'Surfshark.Locations.ViewModels.LocationsHeaderViewModel' | Rect: (L1056, T631, R1378, B667)
076. Type: Custom       | Class: LocationsHeaderView  | Name: ''                                  | Text: ''                                  | Rect: (L1056, T631, R1378, B659)
